tensor(3270.0728, device='cuda:0')
tensor(3274.4707, device='cuda:0')
tensor(3322.5486, device='cuda:0')
tensor(3277.8164, device='cuda:0')
tensor(3272.6809, device='cuda:0')
tensor(3254.7405, device='cuda:0')
tensor(3304.2998, device='cuda:0')
tensor(3288.4456, device='cuda:0')
tensor(3304.4724, device='cuda:0')
tensor(3280.8723, device='cuda:0')
tensor(3276.0325, device='cuda:0')
tensor(3266.3606, device='cuda:0')
tensor(3289.0950, device='cuda:0')
tensor(3296.7402, device='cuda:0')
tensor(3272.9775, device='cuda:0')
tensor(3297.7773, device='cuda:0')
tensor(3276.5916, device='cuda:0')
tensor(3271.8542, device='cuda:0')
tensor(3277.6418, device='cuda:0')
tensor(3268.7725, device='cuda:0')
tensor(3260.6526, device='cuda:0')
tensor(3284.5613, device='cuda:0')
tensor(3265.3093, device='cuda:0')
tensor(3266.7710, device='cuda:0')
tensor(3274.6760, device='cuda:0')
tensor(3285.7136, device='cuda:0')
tensor(3256.9160, device='cuda:0')
tensor(3278.6611, device='cuda:0')
tensor(3269.9998, device='cuda:0')
tensor(3284.0032, device='cuda:0')
tensor(3278.3467, device='cuda:0')
tensor(3267.7781, device='cuda:0')
tensor(3256.5640, device='cuda:0')
tensor(3269.1050, device='cuda:0')
tensor(3265.1218, device='cuda:0')
tensor(3249.0430, device='cuda:0')
tensor(3291.7139, device='cuda:0')
tensor(3261.5955, device='cuda:0')
tensor(3274.2932, device='cuda:0')
tensor(3280.8118, device='cuda:0')
tensor(3273.3645, device='cuda:0')
tensor(3325.9548, device='cuda:0')
tensor(3287.2046, device='cuda:0')
tensor(3288.2158, device='cuda:0')
tensor(3287.5208, device='cuda:0')
tensor(3260.6460, device='cuda:0')
tensor(3296.4775, device='cuda:0')
tensor(3267.1433, device='cuda:0')
tensor(3265.7324, device='cuda:0')
tensor(3257.9756, device='cuda:0')
tensor(3288.9954, device='cuda:0')
tensor(3252.0444, device='cuda:0')
tensor(3267.5454, device='cuda:0')
tensor(3289.9875, device='cuda:0')
tensor(3263.5696, device='cuda:0')
tensor(3256.8906, device='cuda:0')
tensor(3274.5378, device='cuda:0')
tensor(3282.0667, device='cuda:0')
tensor(3272.0774, device='cuda:0')
tensor(3286.1724, device='cuda:0')
tensor(3295.5693, device='cuda:0')
tensor(3277.6548, device='cuda:0')
tensor(3300.2832, device='cuda:0')
tensor(3263.6816, device='cuda:0')
tensor(3281.9841, device='cuda:0')
tensor(3245.9163, device='cuda:0')
tensor(3287.0256, device='cuda:0')
tensor(3282.1965, device='cuda:0')
tensor(3268.5742, device='cuda:0')
tensor(3282.9758, device='cuda:0')
tensor(3275.7292, device='cuda:0')
tensor(3263.0122, device='cuda:0')
tensor(3291.7292, device='cuda:0')
tensor(3265.3149, device='cuda:0')
tensor(3264.6089, device='cuda:0')
tensor(3288.9373, device='cuda:0')
tensor(3264.8438, device='cuda:0')
tensor(3260.4497, device='cuda:0')
tensor(3290.1177, device='cuda:0')
tensor(3263.0525, device='cuda:0')
tensor(3284.5925, device='cuda:0')
tensor(3255.9177, device='cuda:0')
tensor(3265.0002, device='cuda:0')
tensor(3284.0874, device='cuda:0')
tensor(3264.5933, device='cuda:0')
tensor(3258.9050, device='cuda:0')
tensor(3268.0127, device='cuda:0')
tensor(3286.4575, device='cuda:0')
tensor(3257.7966, device='cuda:0')
tensor(3279.4082, device='cuda:0')
tensor(3305.5830, device='cuda:0')
tensor(3266.1621, device='cuda:0')
tensor(3287.1477, device='cuda:0')
tensor(3246.5767, device='cuda:0')
tensor(3247.8694, device='cuda:0')
tensor(3266.4651, device='cuda:0')
tensor(3287.3982, device='cuda:0')
tensor(3267.3472, device='cuda:0')
tensor(3250.6714, device='cuda:0')
tensor(3281.1482, device='cuda:0')
tensor(3308.6028, device='cuda:0')
tensor(3318.4834, device='cuda:0')
tensor(3285.3088, device='cuda:0')
tensor(3263.2896, device='cuda:0')
tensor(3247.4810, device='cuda:0')
tensor(3268.3477, device='cuda:0')
tensor(3287.1160, device='cuda:0')
tensor(3257.8171, device='cuda:0')
tensor(3254.9126, device='cuda:0')
tensor(3258.7686, device='cuda:0')
tensor(3260.2031, device='cuda:0')
tensor(3303.6702, device='cuda:0')
tensor(3277.6082, device='cuda:0')
tensor(3245.0327, device='cuda:0')
tensor(3267.9365, device='cuda:0')
tensor(3307.8186, device='cuda:0')
tensor(3297.4214, device='cuda:0')
tensor(3280.4331, device='cuda:0')
tensor(3284.0776, device='cuda:0')
tensor(3293.2930, device='cuda:0')
tensor(3247.8474, device='cuda:0')
tensor(3281.9624, device='cuda:0')
tensor(3259.1787, device='cuda:0')
tensor(3271.4775, device='cuda:0')
tensor(3277.5828, device='cuda:0')
tensor(3279.5906, device='cuda:0')
tensor(3271.7866, device='cuda:0')
tensor(3259.4219, device='cuda:0')
tensor(3248.2732, device='cuda:0')
tensor(3285.9961, device='cuda:0')
tensor(3247.3550, device='cuda:0')
tensor(3273.2517, device='cuda:0')
tensor(3279.8279, device='cuda:0')
tensor(3267.2576, device='cuda:0')
tensor(3276.2983, device='cuda:0')
tensor(3270.7434, device='cuda:0')
tensor(3272.8977, device='cuda:0')
tensor(3272.4402, device='cuda:0')
tensor(3276.5811, device='cuda:0')
tensor(3256.7349, device='cuda:0')
tensor(3271.2656, device='cuda:0')
tensor(3266.6597, device='cuda:0')
tensor(3266.9238, device='cuda:0')
tensor(3268.0752, device='cuda:0')
tensor(3290.2715, device='cuda:0')
tensor(3235.8843, device='cuda:0')
tensor(3261.8123, device='cuda:0')
tensor(3296.3167, device='cuda:0')
tensor(3261.1089, device='cuda:0')
tensor(3275.3276, device='cuda:0')
tensor(3275.4653, device='cuda:0')
tensor(3261.7217, device='cuda:0')
tensor(3289.0903, device='cuda:0')
tensor(3286.8086, device='cuda:0')
tensor(3245.7563, device='cuda:0')
tensor(3306.4854, device='cuda:0')
tensor(3252.6179, device='cuda:0')
tensor(3243.3320, device='cuda:0')
tensor(3294.3154, device='cuda:0')
tensor(3286.2739, device='cuda:0')
tensor(3281.4282, device='cuda:0')
tensor(3271.3398, device='cuda:0')
tensor(3241.9744, device='cuda:0')
tensor(3281.0522, device='cuda:0')
tensor(3268.1985, device='cuda:0')
tensor(3269.5918, device='cuda:0')
tensor(3255.1768, device='cuda:0')
tensor(3279.3899, device='cuda:0')
tensor(3267.3958, device='cuda:0')
tensor(3260.4246, device='cuda:0')
tensor(3266.4978, device='cuda:0')
tensor(3247.6946, device='cuda:0')
tensor(3277.0439, device='cuda:0')
tensor(3265.3984, device='cuda:0')
tensor(3278.2786, device='cuda:0')
tensor(3284.0759, device='cuda:0')
tensor(3220.4143, device='cuda:0')
